group,Rotation,Site,combined,Year,Crop,Treatment,plot,Block
4KS101,Hemp Fiber,KS,Hemp FiberKS,3,Fiber,Fiber 1,101,1
4KS102,Hemp Grain,KS,Hemp GrainKS,3,Grain,Grain 1,102,1
4KS103,Hemp Grain,KS,HempGrainKS,3,Corn,Grain 2,103,1
4KS104,Conventional,KS,ConventionalKS,3,Corn,Conventional 1,104,1
4KS105,Conventional,KS,ConventionalKS,3,Soybean,Conventional 2,105,1
4KS106,Hemp Fiber,KS,Hemp FiberKS,3,Soybean,Fiber 2,106,1
4KS201,Conventional,KS,ConventionalKS,3,Soybean,Conventional 2,201,2
4KS202,Hemp Fiber,KS,Hemp FiberKS,3,Fiber,Fiber 1,202,2
4KS203,Hemp Fiber,KS,Hemp FiberKS,3,Soybean,Fiber 2,203,2
4KS204,Hemp Grain,KS,Hemp GrainKS,3,Grain,Grain 1,204,2
4KS205,Conventional,KS,ConventionalKS,3,Corn,Conventional 1,205,2
4KS206,Hemp Grain,KS,Hemp GrainKS,3,Corn,Grain 2,206,2
4KS301,Hemp Grain,KS,Hemp GrainKS,3,Corn,Grain 2,301,3
4KS302,Hemp Fiber,KS,Hemp FiberKS,3,Fiber,Fiber 1,302,3
4KS303,Conventional,KS,ConventionalKS,3,Corn,Conventional 1,303,3
4KS304,Conventional,KS,ConventionalKS,3,Soybean,Conventional 2,304,3
4KS305,Hemp Grain,KS,Hemp GrainKS,3,Grain,Grain 1,305,3
4KS306,Hemp Fiber,KS,Hemp FiberKS,3,Soybean,Fiber 2,306,3
4KS401,Hemp Grain,KS,Hemp GrainKS,3,Grain,Grain 1,401,4
4KS402,Conventional,KS,ConventionalKS,3,Soybean,Conventional 2,402,4
4KS403,Conventional,KS,ConventionalKS,3,Corn,Conventional 1,403,4
4KS404,Hemp Grain,KS,Hemp GrainKS,3,Corn,Grain 2,404,4
4KS405,Hemp Fiber,KS,Hemp FiberKS,3,Fiber,Fiber 1,405,4
4KS406,Hemp Fiber,KS,Hemp FiberKS,3,Soybean,Fiber 2,406,4
4KS501,Hemp Fiber,KS,Hemp FiberKS,3,Soybean,Fiber 2,501,5
4KS502,Conventional,KS,ConventionalKS,3,Corn,Conventional 1,502,5
4KS503,Hemp Grain,KS,Hemp GrainKS,3,Grain,Grain 1,503,5
4KS504,Conventional,KS,ConventionalKS,3,Soybean,Conventional 2,504,5
4KS505,Hemp Grain,KS,Hemp GrainKS,3,Corn,Grain 2,505,5
4KS506,Hemp Fiber,KS,Hemp FiberKS,3,Fiber,Fiber 1,506,5
4UK101,Hemp Fiber,UK,Hemp FiberUK,3,Soybean,Fiber 2,101,1
4UK102,Hemp Grain,UK,Hemp GrainUK,3,Corn,Grain 2,102,1
4UK103,Conventional,UK,ConventionalUK,3,Soybean,Conventional 2,103,1
4UK104,Hemp Fiber,UK,Hemp FiberUK,3,Fiber,Fiber 1,104,1
4UK105,Hemp Grain,UK,Hemp GrainUK,3,Grain,Grain 1,105,1
4UK106,Conventional,UK,ConventionalUK,3,Corn,Conventional 1,106,1
4UK201,Hemp Grain,UK,Hemp GrainUK,3,Corn,Grain 2,201,2
4UK202,Conventional,UK,ConventionalUK,3,Corn,Conventional 1,202,2
4UK203,Hemp Grain,UK,Hemp GrainUK,3,Grain,Grain 1,203,2
4UK204,Conventional,UK,ConventionalUK,3,Soybean,Conventional 2,204,2
4UK205,Hemp Fiber,UK,Hemp FiberUK,3,Soybean,Fiber 2,205,2
4UK206,Hemp Fiber,UK,Hemp FiberUK,3,Fiber,Fiber 1,206,2
4UK301,Conventional,UK,ConventionalUK,3,Corn,Conventional 1,301,3
4UK302,Hemp Grain,UK,Hemp GrainUK,3,Grain,Grain 1,302,3
4UK303,Hemp Fiber,UK,Hemp FiberUK,3,Soybean,Fiber 2,303,3
4UK304,Hemp Grain,UK,Hemp GrainUK,3,Corn,Grain 2,304,3
4UK305,Conventional,UK,ConventionalUK,3,Soybean,Conventional 2,305,3
4UK306,Hemp Fiber,UK,Hemp FiberUK,3,Fiber,Fiber 1,306,3
4UK401,Conventional,UK,ConventionalUK,3,Soybean,Conventional 2,401,4
4UK402,Hemp Grain,UK,Hemp GrainUK,3,Corn,Grain 2,402,4
4UK403,Hemp Fiber,UK,Hemp FiberUK,3,Fiber,Fiber 1,403,4
4UK404,Hemp Fiber,UK,Hemp FiberUK,3,Soybean,Fiber 2,404,4
4UK405,Conventional,UK,ConventionalUK,3,Corn,Conventional 1,405,4
4UK406,Hemp Grain,UK,Hemp GrainUK,3,Grain,Grain 1,406,4
4UK501,Hemp Fiber,UK,Hemp FiberUK,3,Fiber,Fiber 1,501,5
4UK502,Conventional,UK,ConventionalUK,3,Soybean,Conventional 2,502,5
4UK503,Hemp Grain,UK,Hemp GrainUK,3,Grain,Grain 1,503,5
4UK504,Conventional,UK,ConventionalUK,3,Corn,Conventional 1,504,5
4UK505,Hemp Grain,UK,Hemp GrainUK,3,Corn,Grain 2,505,5
4UK506,Hemp Fiber,UK,Hemp FiberUK,3,Soybean,Fiber 2,506,5
3KS101,Hemp Fiber,KS,Hemp FiberKS,2,Soybean,Fiber 1,101,1
3KS102,Hemp Grain,KS,Hemp GrainKS,2,Corn,Grain 1,102,1
3KS103,Hemp Grain,KS,HempGrainKS,2,Grain,Grain 2,103,1
3KS104,Conventional,KS,ConventionalKS,2,Soybean,Conventional 1,104,1
3KS105,Conventional,KS,ConventionalKS,2,Corn,Conventional 2,105,1
3KS106,Hemp Fiber,KS,Hemp FiberKS,2,Fiber,Fiber 2,106,1
3KS201,Conventional,KS,ConventionalKS,2,Corn,Conventional 2,201,2
3KS202,Hemp Fiber,KS,Hemp FiberKS,2,Soybean,Fiber 1,202,2
3KS203,Hemp Fiber,KS,Hemp FiberKS,2,Fiber,Fiber 2,203,2
3KS204,Hemp Grain,KS,Hemp GrainKS,2,Corn,Grain 1,204,2
3KS205,Conventional,KS,ConventionalKS,2,Soybean,Conventional 1,205,2
3KS206,Hemp Grain,KS,Hemp GrainKS,2,Grain,Grain 2,206,2
3KS301,Hemp Grain,KS,Hemp GrainKS,2,Grain,Grain 2,301,3
3KS302,Hemp Fiber,KS,Hemp FiberKS,2,Soybean,Fiber 1,302,3
3KS303,Conventional,KS,ConventionalKS,2,Soybean,Conventional 1,303,3
3KS304,Conventional,KS,ConventionalKS,2,Corn,Conventional 2,304,3
3KS305,Hemp Grain,KS,Hemp GrainKS,2,Corn,Grain 1,305,3
3KS306,Hemp Fiber,KS,Hemp FiberKS,2,Fiber,Fiber 2,306,3
3KS401,Hemp Grain,KS,Hemp GrainKS,2,Corn,Grain 1,401,4
3KS402,Conventional,KS,ConventionalKS,2,Corn,Conventional 2,402,4
3KS403,Conventional,KS,ConventionalKS,2,Soybean,Conventional 1,403,4
3KS404,Hemp Grain,KS,Hemp GrainKS,2,Grain,Grain 2,404,4
3KS405,Hemp Fiber,KS,Hemp FiberKS,2,Soybean,Fiber 1,405,4
3KS406,Hemp Fiber,KS,Hemp FiberKS,2,Fiber,Fiber 2,406,4
3KS501,Hemp Fiber,KS,Hemp FiberKS,2,Fiber,Fiber 2,501,5
3KS502,Conventional,KS,ConventionalKS,2,Soybean,Conventional 1,502,5
3KS503,Hemp Grain,KS,Hemp GrainKS,2,Corn,Grain 1,503,5
3KS504,Conventional,KS,ConventionalKS,2,Corn,Conventional 2,504,5
3KS505,Hemp Grain,KS,Hemp GrainKS,2,Grain,Grain 2,505,5
3KS506,Hemp Fiber,KS,Hemp FiberKS,2,Soybean,Fiber 1,506,5
3UK101,Hemp Fiber,UK,Hemp FiberUK,2,Fiber,Fiber 2,101,1
3UK102,Hemp Grain,UK,Hemp GrainUK,2,Grain,Grain 2,102,1
3UK103,Conventional,UK,ConventionalUK,2,Corn,Conventional 2,103,1
3UK104,Hemp Fiber,UK,Hemp FiberUK,2,Soybean,Fiber 1,104,1
3UK105,Hemp Grain,UK,Hemp GrainUK,2,Corn,Grain 1,105,1
3UK106,Conventional,UK,ConventionalUK,2,Soybean,Conventional 1,106,1
3UK201,Hemp Grain,UK,Hemp GrainUK,2,Grain,Grain 2,201,2
3UK202,Conventional,UK,ConventionalUK,2,Soybean,Conventional 1,202,2
3UK203,Hemp Grain,UK,Hemp GrainUK,2,Corn,Grain 1,203,2
3UK204,Conventional,UK,ConventionalUK,2,Corn,Conventional 2,204,2
3UK205,Hemp Fiber,UK,Hemp FiberUK,2,Fiber,Fiber 2,205,2
3UK206,Hemp Fiber,UK,Hemp FiberUK,2,Soybean,Fiber 1,206,2
3UK301,Conventional,UK,ConventionalUK,2,Soybean,Conventional 1,301,3
3UK302,Hemp Grain,UK,Hemp GrainUK,2,Corn,Grain 1,302,3
3UK303,Hemp Fiber,UK,Hemp FiberUK,2,Fiber,Fiber 2,303,3
3UK304,Hemp Grain,UK,Hemp GrainUK,2,Grain,Grain 2,304,3
3UK305,Conventional,UK,ConventionalUK,2,Corn,Conventional 2,305,3
3UK306,Hemp Fiber,UK,Hemp FiberUK,2,Soybean,Fiber 1,306,3
3UK401,Conventional,UK,ConventionalUK,2,Corn,Conventional 2,401,4
3UK402,Hemp Grain,UK,Hemp GrainUK,2,Grain,Grain 2,402,4
3UK403,Hemp Fiber,UK,Hemp FiberUK,2,Soybean,Fiber 1,403,4
3UK404,Hemp Fiber,UK,Hemp FiberUK,2,Fiber,Fiber 2,404,4
3UK405,Conventional,UK,ConventionalUK,2,Soybean,Conventional 1,405,4
3UK406,Hemp Grain,UK,Hemp GrainUK,2,Corn,Grain 1,406,4
3UK501,Hemp Fiber,UK,Hemp FiberUK,2,Soybean,Fiber 1,501,5
3UK502,Conventional,UK,ConventionalUK,2,Corn,Conventional 2,502,5
3UK503,Hemp Grain,UK,Hemp GrainUK,2,Corn,Grain 1,503,5
3UK504,Conventional,UK,ConventionalUK,2,Soybean,Conventional 1,504,5
3UK505,Hemp Grain,UK,Hemp GrainUK,2,Grain,Grain 2,505,5
3UK506,Hemp Fiber,UK,Hemp FiberUK,2,Fiber,Fiber 2,506,5
2KS101,Hemp Fiber,KS,Hemp FiberKS,1,Fiber,Fiber 1,101,1
2KS102,Hemp Grain,KS,Hemp GrainKS,1,Grain,Grain 1,102,1
2KS103,Hemp Grain,KS,HempGrainKS,1,Corn,Grain 2,103,1
2KS104,Conventional,KS,ConventionalKS,1,Corn,Conventional 1,104,1
2KS105,Conventional,KS,ConventionalKS,1,Soybean,Conventional 2,105,1
2KS106,Hemp Fiber,KS,Hemp FiberKS,1,Soybean,Fiber 2,106,1
2KS201,Conventional,KS,ConventionalKS,1,Soybean,Conventional 2,201,2
2KS202,Hemp Fiber,KS,Hemp FiberKS,1,Fiber,Fiber 1,202,2
2KS203,Hemp Fiber,KS,Hemp FiberKS,1,Soybean,Fiber 2,203,2
2KS204,Hemp Grain,KS,Hemp GrainKS,1,Grain,Grain 1,204,2
2KS205,Conventional,KS,ConventionalKS,1,Corn,Conventional 1,205,2
2KS206,Hemp Grain,KS,Hemp GrainKS,1,Corn,Grain 2,206,2
2KS301,Hemp Grain,KS,Hemp GrainKS,1,Corn,Grain 2,301,3
2KS302,Hemp Fiber,KS,Hemp FiberKS,1,Fiber,Fiber 1,302,3
2KS303,Conventional,KS,ConventionalKS,1,Corn,Conventional 1,303,3
2KS304,Conventional,KS,ConventionalKS,1,Soybean,Conventional 2,304,3
2KS305,Hemp Grain,KS,Hemp GrainKS,1,Grain,Grain 1,305,3
2KS306,Hemp Fiber,KS,Hemp FiberKS,1,Soybean,Fiber 2,306,3
2KS401,Hemp Grain,KS,Hemp GrainKS,1,Grain,Grain 1,401,4
2KS402,Conventional,KS,ConventionalKS,1,Soybean,Conventional 2,402,4
2KS403,Conventional,KS,ConventionalKS,1,Corn,Conventional 1,403,4
2KS404,Hemp Grain,KS,Hemp GrainKS,1,Corn,Grain 2,404,4
2KS405,Hemp Fiber,KS,Hemp FiberKS,1,Fiber,Fiber 1,405,4
2KS406,Hemp Fiber,KS,Hemp FiberKS,1,Soybean,Fiber 2,406,4
2KS501,Hemp Fiber,KS,Hemp FiberKS,1,Soybean,Fiber 2,501,5
2KS502,Conventional,KS,ConventionalKS,1,Corn,Conventional 1,502,5
2KS503,Hemp Grain,KS,Hemp GrainKS,1,Grain,Grain 1,503,5
2KS504,Conventional,KS,ConventionalKS,1,Soybean,Conventional 2,504,5
2KS505,Hemp Grain,KS,Hemp GrainKS,1,Corn,Grain 2,505,5
2KS506,Hemp Fiber,KS,Hemp FiberKS,1,Fiber,Fiber 1,506,5
2UK101,Hemp Fiber,UK,Hemp FiberUK,1,Soybean,Fiber 2,101,1
2UK102,Hemp Grain,UK,Hemp GrainUK,1,Corn,Grain 2,102,1
2UK103,Conventional,UK,ConventionalUK,1,Soybean,Conventional 2,103,1
2UK104,Hemp Fiber,UK,Hemp FiberUK,1,Fiber,Fiber 1,104,1
2UK105,Hemp Grain,UK,Hemp GrainUK,1,Grain,Grain 1,105,1
2UK106,Conventional,UK,ConventionalUK,1,Corn,Conventional 1,106,1
2UK201,Hemp Grain,UK,Hemp GrainUK,1,Corn,Grain 2,201,2
2UK202,Conventional,UK,ConventionalUK,1,Corn,Conventional 1,202,2
2UK203,Hemp Grain,UK,Hemp GrainUK,1,Grain,Grain 1,203,2
2UK204,Conventional,UK,ConventionalUK,1,Soybean,Conventional 2,204,2
2UK205,Hemp Fiber,UK,Hemp FiberUK,1,Soybean,Fiber 2,205,2
2UK206,Hemp Fiber,UK,Hemp FiberUK,1,Fiber,Fiber 1,206,2
2UK301,Conventional,UK,ConventionalUK,1,Corn,Conventional 1,301,3
2UK302,Hemp Grain,UK,Hemp GrainUK,1,Grain,Grain 1,302,3
2UK303,Hemp Fiber,UK,Hemp FiberUK,1,Soybean,Fiber 2,303,3
2UK304,Hemp Grain,UK,Hemp GrainUK,1,Corn,Grain 2,304,3
2UK305,Conventional,UK,ConventionalUK,1,Soybean,Conventional 2,305,3
2UK306,Hemp Fiber,UK,Hemp FiberUK,1,Fiber,Fiber 1,306,3
2UK401,Conventional,UK,ConventionalUK,1,Soybean,Conventional 2,401,4
2UK402,Hemp Grain,UK,Hemp GrainUK,1,Corn,Grain 2,402,4
2UK403,Hemp Fiber,UK,Hemp FiberUK,1,Fiber,Fiber 1,403,4
2UK404,Hemp Fiber,UK,Hemp FiberUK,1,Soybean,Fiber 2,404,4
2UK405,Conventional,UK,ConventionalUK,1,Corn,Conventional 1,405,4
2UK406,Hemp Grain,UK,Hemp GrainUK,1,Grain,Grain 1,406,4
2UK501,Hemp Fiber,UK,Hemp FiberUK,1,Fiber,Fiber 1,501,5
2UK502,Conventional,UK,ConventionalUK,1,Soybean,Conventional 2,502,5
2UK503,Hemp Grain,UK,Hemp GrainUK,1,Grain,Grain 1,503,5
2UK504,Conventional,UK,ConventionalUK,1,Corn,Conventional 1,504,5
2UK505,Hemp Grain,UK,Hemp GrainUK,1,Corn,Grain 2,505,5
2UK506,Hemp Fiber,UK,Hemp FiberUK,1,Soybean,Fiber 2,506,5
1KS101,Hemp Fiber,KS,Hemp FiberKS,0,Organic,Fiber 1,101,1
1KS102,Hemp Grain,KS,Hemp GrainKS,0,Organic,Grain 1,102,1
1KS103,Hemp Grain,KS,HempGrainKS,0,Organic,Grain 2,103,1
1KS104,Conventional,KS,ConventionalKS,0,Organic,Conventional 1,104,1
1KS105,Conventional,KS,ConventionalKS,0,Organic,Conventional 2,105,1
1KS106,Hemp Fiber,KS,Hemp FiberKS,0,Organic,Fiber 2,106,1
1KS201,Conventional,KS,ConventionalKS,0,Organic,Conventional 2,201,2
1KS202,Hemp Fiber,KS,Hemp FiberKS,0,Organic,Fiber 1,202,2
1KS203,Hemp Fiber,KS,Hemp FiberKS,0,Organic,Fiber 2,203,2
1KS204,Hemp Grain,KS,Hemp GrainKS,0,Organic,Grain 1,204,2
1KS205,Conventional,KS,ConventionalKS,0,Organic,Conventional 1,205,2
1KS206,Hemp Grain,KS,Hemp GrainKS,0,Organic,Grain 2,206,2
1KS301,Hemp Grain,KS,Hemp GrainKS,0,Organic,Grain 2,301,3
1KS302,Hemp Fiber,KS,Hemp FiberKS,0,Organic,Fiber 1,302,3
1KS303,Conventional,KS,ConventionalKS,0,Organic,Conventional 1,303,3
1KS304,Conventional,KS,ConventionalKS,0,Organic,Conventional 2,304,3
1KS305,Hemp Grain,KS,Hemp GrainKS,0,Organic,Grain 1,305,3
1KS306,Hemp Fiber,KS,Hemp FiberKS,0,Organic,Fiber 2,306,3
1KS401,Hemp Grain,KS,Hemp GrainKS,0,Organic,Grain 1,401,4
1KS402,Conventional,KS,ConventionalKS,0,Organic,Conventional 2,402,4
1KS403,Conventional,KS,ConventionalKS,0,Organic,Conventional 1,403,4
1KS404,Hemp Grain,KS,Hemp GrainKS,0,Organic,Grain 2,404,4
1KS405,Hemp Fiber,KS,Hemp FiberKS,0,Organic,Fiber 1,405,4
1KS406,Hemp Fiber,KS,Hemp FiberKS,0,Organic,Fiber 2,406,4
1KS501,Hemp Fiber,KS,Hemp FiberKS,0,Organic,Fiber 2,501,5
1KS502,Conventional,KS,ConventionalKS,0,Organic,Conventional 1,502,5
1KS503,Hemp Grain,KS,Hemp GrainKS,0,Organic,Grain 1,503,5
1KS504,Conventional,KS,ConventionalKS,0,Organic,Conventional 2,504,5
1KS505,Hemp Grain,KS,Hemp GrainKS,0,Organic,Grain 2,505,5
1KS506,Hemp Fiber,KS,Hemp FiberKS,0,Organic,Fiber 1,506,5
1UK101,Hemp Fiber,UK,Hemp FiberUK,0,Tobacco,Fiber 2,101,1
1UK102,Hemp Grain,UK,Hemp GrainUK,0,Tobacco,Grain 2,102,1
1UK103,Conventional,UK,ConventionalUK,0,Tobacco,Conventional 2,103,1
1UK104,Hemp Fiber,UK,Hemp FiberUK,0,Tobacco,Fiber 1,104,1
1UK105,Hemp Grain,UK,Hemp GrainUK,0,Tobacco,Grain 1,105,1
1UK106,Conventional,UK,ConventionalUK,0,Tobacco,Conventional 1,106,1
1UK201,Hemp Grain,UK,Hemp GrainUK,0,Tobacco,Grain 2,201,2
1UK202,Conventional,UK,ConventionalUK,0,Tobacco,Conventional 1,202,2
1UK203,Hemp Grain,UK,Hemp GrainUK,0,Tobacco,Grain 1,203,2
1UK204,Conventional,UK,ConventionalUK,0,Tobacco,Conventional 2,204,2
1UK205,Hemp Fiber,UK,Hemp FiberUK,0,Tobacco,Fiber 2,205,2
1UK206,Hemp Fiber,UK,Hemp FiberUK,0,Tobacco,Fiber 1,206,2
1UK301,Conventional,UK,ConventionalUK,0,Tobacco,Conventional 1,301,3
1UK302,Hemp Grain,UK,Hemp GrainUK,0,Tobacco,Grain 1,302,3
1UK303,Hemp Fiber,UK,Hemp FiberUK,0,Tobacco,Fiber 2,303,3
1UK304,Hemp Grain,UK,Hemp GrainUK,0,Tobacco,Grain 2,304,3
1UK305,Conventional,UK,ConventionalUK,0,Tobacco,Conventional 2,305,3
1UK306,Hemp Fiber,UK,Hemp FiberUK,0,Tobacco,Fiber 1,306,3
1UK401,Conventional,UK,ConventionalUK,0,Tobacco,Conventional 2,401,4
1UK402,Hemp Grain,UK,Hemp GrainUK,0,Tobacco,Grain 2,402,4
1UK403,Hemp Fiber,UK,Hemp FiberUK,0,Tobacco,Fiber 1,403,4
1UK404,Hemp Fiber,UK,Hemp FiberUK,0,Tobacco,Fiber 2,404,4
1UK405,Conventional,UK,ConventionalUK,0,Tobacco,Conventional 1,405,4
1UK406,Hemp Grain,UK,Hemp GrainUK,0,Tobacco,Grain 1,406,4
1UK501,Hemp Fiber,UK,Hemp FiberUK,0,Tobacco,Fiber 1,501,5
1UK502,Conventional,UK,ConventionalUK,0,Tobacco,Conventional 2,502,5
1UK503,Hemp Grain,UK,Hemp GrainUK,0,Tobacco,Grain 1,503,5
1UK504,Conventional,UK,ConventionalUK,0,Tobacco,Conventional 1,504,5
1UK505,Hemp Grain,UK,Hemp GrainUK,0,Tobacco,Grain 2,505,5
1UK506,Hemp Fiber,UK,Hemp FiberUK,0,Tobacco,Fiber 2,506,5
